Graph_Type,Graph_Name,Nodes,Algorithm,Clique_Size,Runtime_Seconds
Medium,gen200_p0.9_55.adj,200,Local Search,39,0.14570403099060059
Medium,gen200_p0.9_55.adj,200,Simulated Annealing,31,0.4604666233062744
Medium,johnson16-2-4.adj,120,Greedy,8,0.01179957389831543
Medium,johnson16-2-4.adj,120,Local Search,8,0.013081073760986328
Medium,johnson16-2-4.adj,120,Simulated Annealing,8,0.36980581283569336
Medium,keller4.adj,171,Greedy,11,0.02430105209350586
Medium,keller4.adj,171,Local Search,11,0.08260607719421387
Medium,keller4.adj,171,Simulated Annealing,10,0.2047746181488037
Medium,san200_0.7_1.adj,200,Greedy,16,0.015233039855957031
Medium,san200_0.7_1.adj,200,Local Search,16,0.052132606506347656
Medium,san200_0.7_1.adj,200,Simulated Annealing,14,0.2953150272369385
Medium,san200_0.7_2.adj,200,Greedy,13,0.015538454055786133
Medium,san200_0.7_2.adj,200,Local Search,13,0.05719733238220215
Medium,san200_0.7_2.adj,200,Simulated Annealing,12,0.3115234375
Medium,san200_0.9_1.adj,200,Greedy,46,0.02810359001159668
Medium,san200_0.9_1.adj,200,Local Search,46,0.08043861389160156
Medium,san200_0.9_1.adj,200,Simulated Annealing,46,0.4782710075378418
Large,C1000.9.adj,1000,Greedy,57,1.3410828113555908
Large,C1000.9.adj,1000,Local Search,57,7.976343631744385
Large,C1000.9.adj,1000,Simulated Annealing,50,2.9987385272979736
Large,C500.9.adj,500,Greedy,48,0.20935583114624023
Large,C500.9.adj,500,Local Search,48,1.6728689670562744
Large,C500.9.adj,500,Simulated Annealing,40,1.74684476852417
Large,DSJC1000_5.adj,1000,Greedy,14,0.8690409660339355
Large,DSJC1000_5.adj,1000,Local Search,14,3.003800868988037
Large,DSJC1000_5.adj,1000,Simulated Annealing,11,0.9959690570831299
Large,DSJC500_5.adj,500,Greedy,12,0.10958290100097656
Large,DSJC500_5.adj,500,Local Search,12,0.5029561519622803
Large,DSJC500_5.adj,500,Simulated Annealing,9,0.48858141899108887
Large,brock400_1.adj,400,Greedy,22,0.08219480514526367
Large,brock400_1.adj,400,Local Search,22,0.3883683681488037
Large,brock400_1.adj,400,Simulated Annealing,19,0.9777071475982666
Large,brock400_2.adj,400,Greedy,22,0.08527731895446777
Large,brock400_2.adj,400,Local Search,22,0.24946188926696777
Large,brock400_2.adj,400,Simulated Annealing,18,0.6561949253082275
Large,brock400_3.adj,400,Greedy,22,0.08441805839538574
Large,brock400_3.adj,400,Local Search,22,0.769467830657959
Large,brock400_3.adj,400,Simulated Annealing,19,0.6412391662597656
Large,brock400_4.adj,400,Greedy,22,0.08033275604248047
Large,brock400_4.adj,400,Local Search,23,0.0820920467376709
Large,brock400_4.adj,400,Simulated Annealing,17,0.63594651222229
Large,brock800_1.adj,800,Greedy,19,0.34734106063842773
Large,brock800_1.adj,800,Local Search,19,1.840843677520752
Large,brock800_1.adj,800,Simulated Annealing,16,1.3736858367919922
Large,brock800_2.adj,800,Greedy,19,0.365753173828125
Large,brock800_2.adj,800,Local Search,19,1.5849635601043701
Large,brock800_2.adj,800,Simulated Annealing,16,1.0647284984588623
Large,brock800_3.adj,800,Greedy,18,0.34400081634521484
Large,brock800_3.adj,800,Local Search,18,1.1674671173095703
Large,brock800_3.adj,800,Simulated Annealing,17,1.0507917404174805
Large,brock800_4.adj,800,Greedy,19,0.3678758144378662
Large,brock800_4.adj,800,Local Search,19,1.0288867950439453
Large,brock800_4.adj,800,Simulated Annealing,15,1.0651459693908691
Large,c-fat500-1.adj,500,Greedy,14,0.07539224624633789
Large,c-fat500-1.adj,500,Local Search,14,0.0784142017364502
Large,c-fat500-1.adj,500,Simulated Annealing,13,0.02263355255126953
Large,c-fat500-10.adj,500,Greedy,126,0.1916637420654297
Large,c-fat500-10.adj,500,Local Search,126,0.24721288681030273
Large,c-fat500-10.adj,500,Simulated Annealing,125,0.13919782638549805
Large,c-fat500-2.adj,500,Greedy,26,0.07765984535217285
Large,c-fat500-2.adj,500,Local Search,26,0.08421564102172852
Large,c-fat500-2.adj,500,Simulated Annealing,25,0.037369728088378906
Large,c-fat500-5.adj,500,Greedy,64,0.10292840003967285
Large,c-fat500-5.adj,500,Local Search,64,0.12001752853393555
Large,c-fat500-5.adj,500,Simulated Annealing,63,0.0816645622253418
Large,facebook_combined.txt.adj,4039,Greedy,68,6.054142951965332
Large,facebook_combined.txt.adj,4039,Local Search,68,31.344237565994263
Large,facebook_combined.txt.adj,4039,Simulated Annealing,16,0.14816975593566895
Large,gen400_p0.9_55.adj,400,Greedy,46,0.11339449882507324
Large,gen400_p0.9_55.adj,400,Local Search,46,1.6334898471832275
Large,gen400_p0.9_55.adj,400,Simulated Annealing,40,1.0285987854003906
Large,simulated_blockmodel_graph_1000_nodes.adj,1000,Greedy,2,0.2798020839691162
Large,simulated_blockmodel_graph_1000_nodes.adj,1000,Local Search,2,0.6196024417877197
Large,simulated_blockmodel_graph_1000_nodes.adj,1000,Simulated Annealing,2,0.056243181228637695
Large,simulated_blockmodel_graph_500_nodes.adj,500,Greedy,2,0.07054281234741211
Large,simulated_blockmodel_graph_500_nodes.adj,500,Local Search,2,0.1510915756225586
Large,simulated_blockmodel_graph_500_nodes.adj,500,Simulated Annealing,2,0.02032756805419922
