algorithm,small,medium,large
bron_kerbosch,0.17136966666666667,24.829667375,0.21250100000000002
greedy,0.00159,0.04270445,0.96059085
local_random,0.0166141,1.2382534,18.067489473684212
local_search,0.003426,0.32855135,3.7776510500000002
randomized,0.0003284444444444444,0.01914745,0.052760473684210524
simulated_annealing,0.2010199,4.3878673,8.935030999999999
